"","Pathway_ID","Pathway_Name","Compound_ID","Metabolism_Name"
"hsa04912","hsa04912","GnRH signaling pathway - Homo sapiens (human)","C00076;C00165;C00219;C00416;C00575;C01245","Calcium cation;Diacylglycerol;Arachidonate;Phosphatidate;3',5'-Cyclic AMP;D-myo-Inositol 1,4,5-trisphosphate"
"hsa04913","hsa04913","Ovarian steroidogenesis - Homo sapiens (human)","C00187;C00219;C00280;C00410;C00468;C00535;C00575;C00639;C00951;C01176;C01227;C01953;C02249;C02530;C04295;C05138;C05301;C05356;C05966;C14209;C14768;C14769;C14770;C14777","Cholesterol;Arachidonate;Androstenedione;Progesterone;Estrone;Testosterone;3',5'-Cyclic AMP;Prostaglandin F2alpha;Estradiol-17beta;17alpha-Hydroxyprogesterone;Dehydroepiandrosterone;Pregnenolone;Arachidonyl-CoA;Cholesterol ester;Androstenediol;17alpha-Hydroxypregnenolone;2-Hydroxyestradiol;5(S)-HPETE;15(S)-HPETE;4-Hydroxy-17beta-estradiol;5,6-EET;8,9-EET;11,12-EET;12(S)-HETE"
"hsa04914","hsa04914","Progesterone-mediated oocyte maturation - Homo sapiens (human)","C00410;C00575;C05981;C11554","Progesterone;3',5'-Cyclic AMP;Phosphatidylinositol-3,4,5-trisphosphate;1-Phosphatidyl-1D-myo-inositol 3,4-bisphosphate"
"hsa04915","hsa04915","Estrogen signaling pathway - Homo sapiens (human)","C00076;C00165;C00238;C00334;C00533;C00575;C00951;C01245","Calcium cation;Diacylglycerol;Potassium cation;4-Aminobutanoate;Nitric oxide;3',5'-Cyclic AMP;Estradiol-17beta;D-myo-Inositol 1,4,5-trisphosphate"
"hsa04916","hsa04916","Melanogenesis - Homo sapiens (human)","C00076;C00082;C00165;C00575;C01245;C05606","Calcium cation;L-Tyrosine;Diacylglycerol;3',5'-Cyclic AMP;D-myo-Inositol 1,4,5-trisphosphate;Melanin"
"hsa04917","hsa04917","Prolactin signaling pathway - Homo sapiens (human)","C00002;C00031;C00082;C00092;C00280;C00355;C00410;C00468;C00951;C03758;C05981","ATP;D-Glucose;L-Tyrosine;D-Glucose 6-phosphate;Androstenedione;3,4-Dihydroxy-L-phenylalanine;Progesterone;Estrone;Estradiol-17beta;Dopamine;Phosphatidylinositol-3,4,5-trisphosphate"
"hsa04918","hsa04918","Thyroid hormone synthesis - Homo sapiens (human)","C00001;C00005;C00006;C00007;C00027;C00051;C00076;C00092;C00117;C00127;C00165;C00231;C00238;C00575;C00708;C01060;C01245;C01330;C01829;C02465;C02515","H2O;NADPH;NADP+;Oxygen;Hydrogen peroxide;Glutathione;Calcium cation;D-Glucose 6-phosphate;D-Ribose 5-phosphate;Glutathione disulfide;Diacylglycerol;D-Xylulose 5-phosphate;Potassium cation;3',5'-Cyclic AMP;Iodide;3,5-Diiodo-L-tyrosine;D-myo-Inositol 1,4,5-trisphosphate;Sodium cation;Thyroxine;Triiodothyronine;3-Iodo-L-tyrosine"
"hsa04919","hsa04919","Thyroid hormone signaling pathway - Homo sapiens (human)","C00076;C00080;C00165;C00238;C00575;C01245;C01330;C01829;C02465;C05981;C07639","Calcium cation;H+;Diacylglycerol;Potassium cation;3',5'-Cyclic AMP;D-myo-Inositol 1,4,5-trisphosphate;Sodium cation;Thyroxine;Triiodothyronine;Phosphatidylinositol-3,4,5-trisphosphate;3,3',5'-Triiodo-L-thyronine"
"hsa04920","hsa04920","Adipocytokine signaling pathway - Homo sapiens (human)","C00040;C00083;C00162;C00165;C00195;C00638;C15493","Acyl-CoA;Malonyl-CoA;Fatty acid;Diacylglycerol;N-Acylsphingosine;Long-chain fatty acid;9-cis-Retinoic acid"
"hsa04921","hsa04921","Oxytocin signaling pathway - Homo sapiens (human)","C00076;C00165;C00219;C00238;C00427;C00533;C00575;C00584;C00639;C00942;C01245;C13050","Calcium cation;Diacylglycerol;Arachidonate;Potassium cation;Prostaglandin H2;Nitric oxide;3',5'-Cyclic AMP;Prostaglandin E2;Prostaglandin F2alpha;3',5'-Cyclic GMP;D-myo-Inositol 1,4,5-trisphosphate;Cyclic ADP-ribose"
"hsa04922","hsa04922","Glucagon signaling pathway - Homo sapiens (human)","C00022;C00024;C00026;C00031;C00036;C00040;C00042;C00074;C00076;C00083;C00085;C00103;C00122;C00149;C00158;C00182;C00186;C00197;C00311;C00354;C00575;C00631;C00665;C00668;C01172;C01245","Pyruvate;Acetyl-CoA;2-Oxoglutarate;D-Glucose;Oxaloacetate;Acyl-CoA;Succinate;Phosphoenolpyruvate;Calcium cation;Malonyl-CoA;D-Fructose 6-phosphate;D-Glucose 1-phosphate;Fumarate;(S)-Malate;Citrate;Glycogen;(S)-Lactate;3-Phospho-D-glycerate;Isocitrate;D-Fructose 1,6-bisphosphate;3',5'-Cyclic AMP;2-Phospho-D-glycerate;beta-D-Fructose 2,6-bisphosphate;alpha-D-Glucose 6-phosphate;beta-D-Glucose 6-phosphate;D-myo-Inositol 1,4,5-trisphosphate"
"hsa04923","hsa04923","Regulation of lipolysis in adipocytes - Homo sapiens (human)","C00020;C00116;C00162;C00165;C00212;C00219;C00422;C00547;C00575;C00584;C00788;C00942;C01885;C02140","AMP;Glycerol;Fatty acid;Diacylglycerol;Adenosine;Arachidonate;Triacylglycerol;L-Noradrenaline;3',5'-Cyclic AMP;Prostaglandin E2;L-Adrenaline;3',5'-Cyclic GMP;1-Acylglycerol;Corticosterone"
"hsa04924","hsa04924","Renin secretion - Homo sapiens (human)","C00001;C00002;C00008;C00020;C00076;C00212;C00238;C00533;C00547;C00575;C00584;C00698;C00788;C00873;C00942;C01245;C02135","H2O;ATP;ADP;AMP;Calcium cation;Adenosine;Potassium cation;Nitric oxide;L-Noradrenaline;3',5'-Cyclic AMP;Prostaglandin E2;Cl-;L-Adrenaline;Angiotensin I;3',5'-Cyclic GMP;D-myo-Inositol 1,4,5-trisphosphate;Angiotensin II"
"hsa04925","hsa04925","Aldosterone synthesis and secretion - Homo sapiens (human)","C00003;C00004;C00005;C00006;C00020;C00076;C00165;C00187;C00219;C00238;C00410;C00575;C00942;C01124;C01245;C01330;C01780;C01953;C02140;C03205;C14777;C14822","NAD+;NADH;NADPH;NADP+;AMP;Calcium cation;Diacylglycerol;Cholesterol;Arachidonate;Potassium cation;Progesterone;3',5'-Cyclic AMP;3',5'-Cyclic GMP;18-Hydroxycorticosterone;D-myo-Inositol 1,4,5-trisphosphate;Sodium cation;Aldosterone;Pregnenolone;Corticosterone;11-Deoxycorticosterone;12(S)-HETE;12(R)-HETE"
"hsa04926","hsa04926","Relaxin signaling pathway - Homo sapiens (human)","C00076;C00165;C00533;C00575;C01245;C05981","Calcium cation;Diacylglycerol;Nitric oxide;3',5'-Cyclic AMP;D-myo-Inositol 1,4,5-trisphosphate;Phosphatidylinositol-3,4,5-trisphosphate"
"hsa04927","hsa04927","Cortisol synthesis and secretion - Homo sapiens (human)","C00020;C00076;C00187;C00238;C00410;C00575;C00735;C01176;C01245;C01953;C05138;C05488","AMP;Calcium cation;Cholesterol;Potassium cation;Progesterone;3',5'-Cyclic AMP;Cortisol;17alpha-Hydroxyprogesterone;D-myo-Inositol 1,4,5-trisphosphate;Pregnenolone;17alpha-Hydroxypregnenolone;11-Deoxycortisol"
"hsa04928","hsa04928","Parathyroid hormone synthesis, secretion and action - Homo sapiens (human)","C00009;C00020;C00076;C00165;C00575;C01245;C01330;C01561;C01673;C18231","Orthophosphate;AMP;Calcium cation;Diacylglycerol;3',5'-Cyclic AMP;D-myo-Inositol 1,4,5-trisphosphate;Sodium cation;Calcidiol;Calcitriol;Calcitetrol"
"hsa04929","hsa04929","GnRH secretion - Homo sapiens (human)","C00076;C00165;C00238;C00334;C00535;C00951;C01245;C01330;C04637","Calcium cation;Diacylglycerol;Potassium cation;4-Aminobutanoate;Testosterone;Estradiol-17beta;D-myo-Inositol 1,4,5-trisphosphate;Sodium cation;1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate"
"hsa04930","hsa04930","Type II diabetes mellitus - Homo sapiens (human)","C00002;C00022;C00031;C00076;C00162;C00238","ATP;Pyruvate;D-Glucose;Calcium cation;Fatty acid;Potassium cation"
"hsa04931","hsa04931","Insulin resistance - Homo sapiens (human)","C00022;C00024;C00031;C00043;C00083;C00085;C00092;C00095;C00162;C00165;C00195;C00352;C00369;C00422;C00533;C02571;C02843;C05981;C06156;G00369","Pyruvate;Acetyl-CoA;D-Glucose;UDP-N-acetyl-alpha-D-glucosamine;Malonyl-CoA;D-Fructose 6-phosphate;D-Glucose 6-phosphate;D-Fructose;Fatty acid;Diacylglycerol;N-Acylsphingosine;D-Glucosamine 6-phosphate;Starch;Triacylglycerol;Nitric oxide;O-Acetylcarnitine;Long-chain acyl-CoA;Phosphatidylinositol-3,4,5-trisphosphate;alpha-D-Glucosamine 1-phosphate;NA  G00369"
"hsa04932","hsa04932","Non-alcoholic fatty liver disease - Homo sapiens (human)","C00031;C00162","D-Glucose;Fatty acid"
"hsa04933","hsa04933","AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)","C00031;C00076;C00165;C00195;C01245;C21011;C21012;C21013;C21014","D-Glucose;Calcium cation;Diacylglycerol;N-Acylsphingosine;D-myo-Inositol 1,4,5-trisphosphate;[Protein]-N(epsilon)-(carboxymethyl)lysine;[Protein]-N(epsilon)-(carboxyethyl)lysine;[Protein]-pyrraline;[Protein]-pentosidine"
"hsa04934","hsa04934","Cushing syndrome - Homo sapiens (human)","C00020;C00076;C00187;C00238;C00410;C00575;C00735;C01176;C01245;C01953;C05138;C05488;C07557","AMP;Calcium cation;Cholesterol;Potassium cation;Progesterone;3',5'-Cyclic AMP;Cortisol;17alpha-Hydroxyprogesterone;D-myo-Inositol 1,4,5-trisphosphate;Pregnenolone;17alpha-Hydroxypregnenolone;11-Deoxycortisol;2,3,7,8-Tetrachlorodibenzodioxin"
"hsa04935","hsa04935","Growth hormone synthesis, secretion and action - Homo sapiens (human)","C00076;C00165;C00575;C01245","Calcium cation;Diacylglycerol;3',5'-Cyclic AMP;D-myo-Inositol 1,4,5-trisphosphate"
"hsa04936","hsa04936","Alcoholic liver disease - Homo sapiens (human)","C00003;C00005;C00006;C00024;C00033;C00040;C00076;C00083;C00084;C00469;C22381","NAD+;NADPH;NADP+;Acetyl-CoA;Acetate;Acyl-CoA;Calcium cation;Malonyl-CoA;Acetaldehyde;Ethanol;Reactive oxygen species"
"hsa04940","hsa04940","Type I diabetes mellitus - Homo sapiens (human)","C00027;C00533;C00704","Hydrogen peroxide;Nitric oxide;Superoxide"
"hsa04950","hsa04950","Maturity onset diabetes of the young - Homo sapiens (human)","",""
"hsa04960","hsa04960","Aldosterone-regulated sodium reabsorption - Homo sapiens (human)","C00238;C00575;C00698;C00735;C00762;C01330;C01780;C05981","Potassium cation;3',5'-Cyclic AMP;Cl-;Cortisol;Cortisone;Sodium cation;Aldosterone;Phosphatidylinositol-3,4,5-trisphosphate"
"hsa04961","hsa04961","Endocrine and other factor-regulated calcium reabsorption - Homo sapiens (human)","C00076;C00165;C00238;C00575;C00951;C01245;C01330;C01673","Calcium cation;Diacylglycerol;Potassium cation;3',5'-Cyclic AMP;Estradiol-17beta;D-myo-Inositol 1,4,5-trisphosphate;Sodium cation;Calcitriol"
"hsa04962","hsa04962","Vasopressin-regulated water reabsorption - Homo sapiens (human)","C00001;C00575","H2O;3',5'-Cyclic AMP"
"hsa04964","hsa04964","Proximal tubule bicarbonate reclamation - Homo sapiens (human)","C00001;C00011;C00014;C00025;C00026;C00036;C00064;C00074;C00080;C00149;C00238;C00267;C00288;C00698;C01330;C01353;C01358","H2O;CO2;Ammonia;L-Glutamate;2-Oxoglutarate;Oxaloacetate;L-Glutamine;Phosphoenolpyruvate;H+;(S)-Malate;Potassium cation;alpha-D-Glucose;HCO3-;Cl-;Sodium cation;Carbonic acid;NH4OH"
"hsa04966","hsa04966","Collecting duct acid secretion - Homo sapiens (human)","C00001;C00011;C00014;C00080;C00238;C00288;C00698;C01353","H2O;CO2;Ammonia;H+;Potassium cation;HCO3-;Cl-;Carbonic acid"
"hsa04970","hsa04970","Salivary secretion - Homo sapiens (human)","C00001;C00011;C00076;C00080;C00165;C00238;C00288;C00533;C00547;C00575;C00698;C00942;C01245;C01330;C01353;C01996;C13050","H2O;CO2;Calcium cation;H+;Diacylglycerol;Potassium cation;HCO3-;Nitric oxide;L-Noradrenaline;3',5'-Cyclic AMP;Cl-;3',5'-Cyclic GMP;D-myo-Inositol 1,4,5-trisphosphate;Sodium cation;Carbonic acid;Acetylcholine;Cyclic ADP-ribose"
"hsa04971","hsa04971","Gastric acid secretion - Homo sapiens (human)","C00001;C00011;C00076;C00080;C00165;C00238;C00288;C00388;C00575;C00698;C01245;C01330;C01353;C01996","H2O;CO2;Calcium cation;H+;Diacylglycerol;Potassium cation;HCO3-;Histamine;3',5'-Cyclic AMP;Cl-;D-myo-Inositol 1,4,5-trisphosphate;Sodium cation;Carbonic acid;Acetylcholine"
"hsa04972","hsa04972","Pancreatic secretion - Homo sapiens (human)","C00001;C00011;C00076;C00080;C00165;C00238;C00288;C00575;C00698;C01245;C01330;C01353;C01996;C13050;C13051","H2O;CO2;Calcium cation;H+;Diacylglycerol;Potassium cation;HCO3-;3',5'-Cyclic AMP;Cl-;D-myo-Inositol 1,4,5-trisphosphate;Sodium cation;Carbonic acid;Acetylcholine;Cyclic ADP-ribose;Nicotinic acid adenine dinucleotide phosphate"
"hsa04973","hsa04973","Carbohydrate digestion and absorption - Homo sapiens (human)","C00011;C00031;C00033;C00076;C00089;C00092;C00095;C00124;C00163;C00165;C00208;C00238;C00243;C00246;C00282;C00369;C00707;C00714;C00760;C01330;C01355;C01835;C02049;C05981;C08822;C12284;C12285","CO2;D-Glucose;Acetate;Calcium cation;Sucrose;D-Glucose 6-phosphate;D-Fructose;D-Galactose;Propanoate;Diacylglycerol;Maltose;Potassium cation;Lactose;Butanoic acid;Hydrogen;Starch;Xylan;Pectin;Cellulose;Sodium cation;Fructan;Maltotriose;Limit dextrin;Phosphatidylinositol-3,4,5-trisphosphate;Gum arabic;Saccharin sodium anhydrous;Sucralose"
"hsa04974","hsa04974","Protein digestion and absorption - Homo sapiens (human)","C00011;C00014;C00025;C00033;C00037;C00041;C00047;C00049;C00062;C00064;C00065;C00073;C00076;C00078;C00079;C00080;C00082;C00097;C00099;C00123;C00134;C00135;C00146;C00148;C00152;C00163;C00183;C00188;C00238;C00246;C00282;C00388;C00407;C00463;C00483;C00491;C01327;C01330;C01438;C01468;C01672;C01746;C02632;C05996;C08262;C16138;C18319","CO2;Ammonia;L-Glutamate;Acetate;Glycine;L-Alanine;L-Lysine;L-Aspartate;L-Arginine;L-Glutamine;L-Serine;L-Methionine;Calcium cation;L-Tryptophan;L-Phenylalanine;H+;L-Tyrosine;L-Cysteine;beta-Alanine;L-Leucine;Putrescine;L-Histidine;Phenol;L-Proline;L-Asparagine;Propanoate;L-Valine;L-Threonine;Potassium cation;Butanoic acid;Hydrogen;Histamine;L-Isoleucine;Indole;Tyramine;L-Cystine;Hydrochloric acid;Sodium cation;Methane;4-Cresol;Cadaverine;Piperidine;2-Methylpropanoate;Branched chain fatty acid;3-Methylbutanoic acid;L-Pyrrolysine;2-Methylbutyrate"
"hsa04975","hsa04975","Fat digestion and absorption - Homo sapiens (human)","C00010;C00040;C00162;C00165;C00187;C00416;C00422;C00681;C00865;C01558;C01885;C02112;C02530","CoA;Acyl-CoA;Fatty acid;Diacylglycerol;Cholesterol;Phosphatidate;Triacylglycerol;1-Acyl-sn-glycerol 3-phosphate;Phospholipid;Bile salt;1-Acylglycerol;2-Acylglycerol;Cholesterol ester"
"hsa04976","hsa04976","Bile secretion - Homo sapiens (human)","C00001;C00011;C00024;C00026;C00031;C00051;C00080;C00114;C00187;C00238;C00288;C00315;C00318;C00366;C00486;C00504;C00575;C00584;C00639;C00695;C00698;C00735;C00750;C00780;C00805;C00865;C00942;C01330;C01353;C01405;C01443;C01576;C01829;C01844;C01921;C01937;C01996;C02165;C02166;C02380;C02465;C02528;C02530;C02538;C02918;C03033;C03642;C03758;C03990;C04483;C04555;C05122;C05371;C05465;C05466;C05503;C05551;C05963;C06526;C06570;C06688;C06804;C06810;C06880;C06890;C06956;C06999;C07014;C07051;C07065;C07151;C07184;C07185;C07201;C07207;C07210;C07240;C07394;C07512;C07649;C07660;C07966;C08357;C08439;C09955;C11158;C11231;C11245;C11277;C11310;C11363;C11587;C11754;C12560;C16114;C16578;C16643;D00125;D00140;D00142;D00184;D00186;D00201;D00214;D00224;D00240;D00247;D00295;D00298;D00318;D00331;D00333;D00340;D00353;D00359;D00400;D00422;D00427;D00429;D00439;D00453;D00456;D00491;D00512;D00521;D00570;D00590;D00767;D00804;D01061;D01264;D01275;D01421;D01745;D01862;D02115;D02166;D02214;D02216;D02356;D03130;D03833;D03899;D04931;D05246;D06050;D06074;D07448;D07538;D07626;D07661;D07776;D07845;D07866;D07901;D07907;D07958;D07986;D07987;D08066;D08086;D08108;D08144;D08146;D08224;D08259;D08291;D08306;D08411;D08458;D08492;D08618;D08675;D08679","H2O;CO2;Acetyl-CoA;2-Oxoglutarate;D-Glucose;Glutathione;H+;Choline;Cholesterol;Potassium cation;HCO3-;Spermidine;L-Carnitine;Urate;Bilirubin;Folate;3',5'-Cyclic AMP;Prostaglandin E2;Prostaglandin F2alpha;Cholic acid;Cl-;Cortisol;Spermine;Serotonin;Salicylate;Phospholipid;3',5'-Cyclic GMP;Sodium cation;Carbonic acid;Aspirin;Ouabain;Etoposide;Thyroxine;Pravastatin;Glycocholate;Methotrexate;Acetylcholine;Leukotriene B4;Leukotriene C4;6-Mercaptopurine;Triiodothyronine;Chenodeoxycholate;Cholesterol ester;Estrone 3-sulfate;1-Methylnicotinamide;beta-D-Glucuronoside;Taurolithocholate sulfate;Dopamine;Lithocholic acid;Deoxycholic acid;Dehydroepiandrosterone sulfate;Taurocholate;Microcystin LR;Taurochenodeoxycholate;Glycochenodeoxycholate;Estradiol-17beta 3-glucuronide;Penicillin G;Thromboxane B2;Quinine;Tetracycline;Rifampicin;Acetaminophen;Aciclovir;Cefazolin;Ceftizoxime;Digoxin;Fexofenadine;Fluvastatin;Indinavir;Lamivudine;Metformin;Valacyclovir;Valproic acid;Vinblastine;Zalcitabine;Zidovudine;Ritonavir;Paclitaxel;Tetraethylammonium;5-FU;Levofloxacin;Cerivastatin;Estradiol-17beta 3-sulfate;Phalloidin;Ochratoxin A;Topotecan;Docetaxel anhydrous;Glucuronosyletoposide;Adefovir;1-Methyl-4-phenylpyridinium;Sulfobromophthalein;BQ 123;Cephaloridine;Saquinavir mesylate;Cholecystokinin-8;Morphine-6-glucuronide;Morphine-3-glucuronide;Etoposide (JP18/USP/INN);Erythromycin (JP18/USP/INN);Methotrexate (JP18/USP/INN);Cyclosporine (USP);Ciprofloxacin (JP18/USP/INN);Tetracycline (JAN/USP/INN);Dactinomycin (USP);Allopurinol (JP18/USP/INN);Aztreonam (JP18/USP/INN);Bumetanide (JP18/USP/INN);Cimetidine (JP18/USP/INN);Digoxin (JP18/USP);Famotidine (JP18/USP/INN);Furosemide (JP18/USP/INN);Ganciclovir (JAN/USP/INN);Hydrochlorothiazide (JP18/USP/INN);Lamivudine (JAN/USP/INN);Lovastatin (USP/INN);Valsartan (JP18/USP/INN);Ranitidine (USAN/INN);Ritonavir (JAN/USP/INN);Saquinavir (JAN/USP/INN);Nitrofurantoin (JAN/USP/INN);Ofloxacin (JP18/USP/INN);Ondansetron (JAN/USP/INN);Paclitaxel (JAN/USP/INN);Phenytoin (JP18/USP/INN);Terfenadine (JAN/USAN/INN);Colchicine (JP18/USP);Sparfloxacin (JAN/USAN/INN);Vecuronium bromide (JAN/USP/INN);Ivermectin (JAN/USP/INN);Irinotecan hydrochloride (USP);Daunorubicin hydrochloride (JP18/USP);Doxorubicin hydrochloride (JP18/USP);Aminohippurate sodium (USP);Domperidone (JP18/USAN/INN);Pitavastatin calcium (JAN);Methotrexate sodium;Mitoxantrone hydrochloride (JAN/USP);Epirubicin hydrochloride (JP18/USP);Ciprofloxacin hydrochloride (USP);Verapamil (USAN/INN);Bisantrene hydrochloride (USAN);Indinavir (USAN);Doxorubicin (USAN/INN);Mercaptopurine (INN);Olmesartan (USAN/INN);Technetium Tc 99m tetrofosmin (USP);Tenofovir (USAN);Amitriptyline (INN);Bosentan (INN);Caspofungin (INN);Cerivastatin (INN);Daunorubicin (INN);Diltiazem (INN);Docetaxel (JAN/INN);Epirubicin (INN);Erlotinib (INN);Fexofenadine (INN);Folinic acid (BAN);Folinic acid calcium salt pentahydrate;Imatinib (INN);Irinotecan (INN);Lapatinib (INN);Loperamide (INN);Losartan (INN);Mitoxantrone (INN);Nelfinavir (INN);Ofloxacin hydrochloride;Oseltamivir (INN);Prazosin (INN);Quinidine (BAN);Rosuvastatin (INN);Topotecan (BAN);Vinblastine (INN);Vincristine (INN)"
"hsa04977","hsa04977","Vitamin digestion and absorption - Homo sapiens (human)","C00003;C00010;C00016;C00018;C00061;C00068;C00072;C00080;C00120;C00153;C00162;C00187;C00250;C00255;C00376;C00378;C00422;C00473;C00504;C00534;C00647;C00681;C00828;C00864;C01330;C01558;C01885;C02059;C02075;C02094;C02112;C02477;C02530;C05377;C05443;C05552;C05776;C12981;C13202","NAD+;CoA;FAD;Pyridoxal phosphate;FMN;Thiamin diphosphate;Ascorbate;H+;Biotin;Nicotinamide;Fatty acid;Cholesterol;Pyridoxal;Riboflavin;Retinal;Thiamine;Triacylglycerol;Retinol;Folate;Pyridoxamine;Pyridoxamine phosphate;1-Acyl-sn-glycerol 3-phosphate;Menaquinone;Pantothenate;Sodium cation;Bile salt;1-Acylglycerol;Phylloquinone;Retinyl ester;beta-Carotene;2-Acylglycerol;alpha-Tocopherol;Cholesterol ester;Menadione;Vitamin D3;Biocytin;Vitamin B12;dl-alpha-Tocopherol nicotinate;alpha-Tocopherol acetate"
"hsa04978","hsa04978","Mineral absorption - Homo sapiens (human)","C00009;C00031;C00032;C00037;C00038;C00041;C00064;C00065;C00070;C00073;C00076;C00078;C00079;C00080;C00123;C00124;C00148;C00152;C00183;C00188;C00238;C00288;C00305;C00407;C00698;C01330;C01673;C14818;C14819","Orthophosphate;D-Glucose;Heme;Glycine;Zinc cation;L-Alanine;L-Glutamine;L-Serine;Copper;L-Methionine;Calcium cation;L-Tryptophan;L-Phenylalanine;H+;L-Leucine;D-Galactose;L-Proline;L-Asparagine;L-Valine;L-Threonine;Potassium cation;HCO3-;Magnesium cation;L-Isoleucine;Cl-;Sodium cation;Calcitriol;Fe2+;Fe3+"
"hsa04979","hsa04979","Cholesterol metabolism - Homo sapiens (human)","C00162;C00187;C00422;C00865;C01921;C02530;C05122;C05465;C05466;C15610","Fatty acid;Cholesterol;Triacylglycerol;Phospholipid;Glycocholate;Cholesterol ester;Taurocholate;Taurochenodeoxycholate;Glycochenodeoxycholate;Cholest-5-ene-3beta,26-diol"
"hsa05010","hsa05010","Alzheimer disease - Homo sapiens (human)","C00027;C00038;C00070;C00076;C00533;C00704;C01245;C01319;C04549;C05981;C14818;C16514;C16515;C16845;C19610;C21011;C21012;C21013;C21014","Hydrogen peroxide;Zinc cation;Copper;Calcium cation;Nitric oxide;Superoxide;D-myo-Inositol 1,4,5-trisphosphate;Hg;1-Phosphatidyl-1D-myo-inositol 3-phosphate;Phosphatidylinositol-3,4,5-trisphosphate;Fe2+;Amyloid beta protein 40;Amyloid beta protein 42;Peroxynitrite;Manganese(2+);[Protein]-N(epsilon)-(carboxymethyl)lysine;[Protein]-N(epsilon)-(carboxyethyl)lysine;[Protein]-pyrraline;[Protein]-pentosidine"
"hsa05012","hsa05012","Parkinson disease - Homo sapiens (human)","C00002;C00007;C00008;C00009;C00013;C00020;C00027;C00034;C00076;C00082;C00165;C00212;C00355;C00575;C00704;C01245;C03758;C04043;C04599;C07593;C11310;C14701;C15231;C16844;C17755;C22381","ATP;Oxygen;ADP;Orthophosphate;Diphosphate;AMP;Hydrogen peroxide;Manganese;Calcium cation;L-Tyrosine;Diacylglycerol;Adenosine;3,4-Dihydroxy-L-phenylalanine;3',5'-Cyclic AMP;Superoxide;D-myo-Inositol 1,4,5-trisphosphate;Dopamine;3,4-Dihydroxyphenylacetaldehyde;1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine;Rotenone;1-Methyl-4-phenylpyridinium;Paraquat;Maneb;Hydroxyl radical;Dopamine quinone;Reactive oxygen species"
"hsa05014","hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)","C00001;C00008;C00025;C00027;C00039;C00046;C00062;C00070;C00076;C00533;C00704;C04549;C16844;C16845","H2O;ADP;L-Glutamate;Hydrogen peroxide;DNA;RNA;L-Arginine;Copper;Calcium cation;Nitric oxide;Superoxide;1-Phosphatidyl-1D-myo-inositol 3-phosphate;Hydroxyl radical;Peroxynitrite"
"hsa05016","hsa05016","Huntington disease - Homo sapiens (human)","C00025;C00076;C00238;C01245;C01330;C04549","L-Glutamate;Calcium cation;Potassium cation;D-myo-Inositol 1,4,5-trisphosphate;Sodium cation;1-Phosphatidyl-1D-myo-inositol 3-phosphate"
"hsa05017","hsa05017","Spinocerebellar ataxia - Homo sapiens (human)","C00025;C00076;C00165;C00238;C01245;C01330;C04549","L-Glutamate;Calcium cation;Diacylglycerol;Potassium cation;D-myo-Inositol 1,4,5-trisphosphate;Sodium cation;1-Phosphatidyl-1D-myo-inositol 3-phosphate"
"hsa05020","hsa05020","Prion disease - Homo sapiens (human)","C00027;C00076;C00575;C00704;C02140","Hydrogen peroxide;Calcium cation;3',5'-Cyclic AMP;Superoxide;Corticosterone"
"hsa05022","hsa05022","Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)","C00001;C00002;C00008;C00009;C00012;C00013;C00017;C00020;C00025;C00027;C00062;C00070;C00076;C00165;C00533;C00704;C01245;C01330;C01996;C04549;C04599;C07593;C11310;C15231;C16514;C16515;C16844;C16845;C21011;C21012;C21013;C21014","H2O;ATP;ADP;Orthophosphate;Peptide;Diphosphate;Protein;AMP;L-Glutamate;Hydrogen peroxide;L-Arginine;Copper;Calcium cation;Diacylglycerol;Nitric oxide;Superoxide;D-myo-Inositol 1,4,5-trisphosphate;Sodium cation;Acetylcholine;1-Phosphatidyl-1D-myo-inositol 3-phosphate;1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine;Rotenone;1-Methyl-4-phenylpyridinium;Maneb;Amyloid beta protein 40;Amyloid beta protein 42;Hydroxyl radical;Peroxynitrite;[Protein]-N(epsilon)-(carboxymethyl)lysine;[Protein]-N(epsilon)-(carboxyethyl)lysine;[Protein]-pyrraline;[Protein]-pentosidine"
"hsa05030","hsa05030","Cocaine addiction - Homo sapiens (human)","C00025;C00027;C00082;C00355;C00575;C01161;C03758;D00110","L-Glutamate;Hydrogen peroxide;L-Tyrosine;3,4-Dihydroxy-L-phenylalanine;3',5'-Cyclic AMP;3,4-Dihydroxyphenylacetate;Dopamine;Cocaine (USP)"
"hsa05031","hsa05031","Amphetamine addiction - Homo sapiens (human)","C00025;C00027;C00076;C00082;C00355;C00575;C01161;C01330;C03758;D07445","L-Glutamate;Hydrogen peroxide;Calcium cation;L-Tyrosine;3,4-Dihydroxy-L-phenylalanine;3',5'-Cyclic AMP;3,4-Dihydroxyphenylacetate;Sodium cation;Dopamine;Amfetamine (INN)"
"hsa05032","hsa05032","Morphine addiction - Homo sapiens (human)","C00020;C00076;C00212;C00238;C00334;C00575;C00698;C03758;D00842;D02271;D08233;D08234","AMP;Calcium cation;Adenosine;Potassium cation;4-Aminobutanoate;3',5'-Cyclic AMP;Cl-;Dopamine;Morphine sulfate (USP);Morphine hydrochloride hydrate (JP18);Morphine (BAN);Morphine tartrate"
